year;areakm;uf
2021;889,00;Acre
2008;254,00;Acre
2007;184,00;Acre
2022;840,00;Acre
1991;380,00;Acre
2020;706,00;Acre
2019;682,00;Acre
2023;597,00;Acre
2016;372,00;Acre
2018;444,00;Acre
2009;167,00;Acre
2010;259,00;Acre
2017;257,00;Acre
2011;280,00;Acre
2015;264,00;Acre
2013;221,00;Acre
2014;309,00;Acre    
2012;305,00;Acre
1995;220,00;Roraima
2004;311,00;Roraima
2003;439,00;Roraima
2002;84,00;Roraima
1988;290,00;Roraima
2005;133,00;Roraima
2000;253,00;Roraima
2001;345,00;Roraima
1996;214,00;Roraima
1989;630,00;Roraima
1998;223,00;Roraima
1999;220,00;Roraima
1994;240,00;Roraima
1993;240,00;Roraima
2006;231,00;Roraima
1992;281,00;Roraima
1990;150,00;Roraima
1997;184,00;Roraima
2021;315,00;Roraima
2008;574,00;Roraima
2007;309,00;Roraima
2022;279,00;Roraima
1991;420,00;Roraima
2020;297,00;Roraima
2019;590,00;Roraima
2023;297,00;Roraima
2016;202,00;Roraima
2018;195,00;Roraima
2009;121,00;Roraima
2010;256,00;Roraima
2017;132,00;Roraima
2011;141,00;Roraima
2015;156,00;Roraima
2013;170,00;Roraima
2014;219,00;Roraima
2012;124,00;Roraima
1995;797,00;Tocantins
2004;158,00;Tocantins
2003;156,00;Tocantins
2002;212,00;Tocantins
1988;1.650,00;Tocantins
2005;271,00;Tocantins
2000;244,00;Tocantins
2001;189,00;Tocantins
1996;320,00;Tocantins
1989;730,00;Tocantins
1998;576,00;Tocantins
1999;216,00;Tocantins
1994;333,00;Tocantins
1993;333,00;Tocantins
2006;124,00;Tocantins
1992;409,00;Tocantins
1990;580,00;Tocantins
1997;273,00;Tocantins
2021;37,00;Tocantins
2008;107,00;Tocantins
2007;63,00;Tocantins
2022;27,00;Tocantins
1991;440,00;Tocantins
2020;25,00;Tocantins
2019;23,00;Tocantins
2023;26,00;Tocantins
2016;58,00;Tocantins
2018;25,00;Tocantins
2009;61,00;Tocantins
2010;49,00;Tocantins
2017;31,00;Tocantins
2011;40,00;Tocantins
2015;57,00;Tocantins
2013;74,00;Tocantins
2014;50,00;Tocantins
2012;52,00;Tocantins
1995;9,00;Amapá
2004;46,00;Amapá
2003;25,00;Amapá
1988;60,00;Amapá
2005;33,00;Amapá
2001;7,00;Amapá
1989;130,00;Amapá
1998;30,00;Amapá
2006;30,00;Amapá
1992;36,00;Amapá
1990;250,00;Amapá
1997;18,00;Amapá
2021;17,00;Amapá
2008;100,00;Amapá
2007;39,00;Amapá
2022;14,00;Amapá
1991;410,00;Amapá
2020;24,00;Amapá
2019;32,00;Amapá
2023;12,00;Amapá
2016;17,00;Amapá
2018;24,00;Amapá
2009;70,00;Amapá
2010;53,00;Amapá
2017;24,00;Amapá
2011;66,00;Amapá
2015;25,00;Amapá
2013;23,00;Amapá
2014;31,00;Amapá
2012;27,00;Amapá
